variant,doors,policy,iterations,exact_p,mae,rmse,q10,q50,q90
classic,3,Stick,10,0.3333333333333333,0.12558333333333332,0.15541163977571879,0.2,0.3,0.5100000000000022
classic,3,Stick,30,0.3333333333333333,0.07133333333333333,0.08822320178577364,0.2,0.3333333333333333,0.43333333333333335
classic,3,Stick,100,0.3333333333333333,0.036,0.04494750023947692,0.28,0.33,0.39
classic,3,Stick,300,0.3333333333333333,0.021900000000000003,0.02803172805550485,0.2966666666666667,0.3333333333333333,0.36366666666666675
classic,3,Stick,1000,0.3333333333333333,0.012669166666666662,0.015503825692747934,0.314,0.334,0.354
classic,3,Stick,3000,0.3333333333333333,0.006656666666666669,0.008469290931883785,0.32233333333333336,0.334,0.3447
classic,3,Stick,10000,0.3333333333333333,0.0036621666666666664,0.00463901689776808,0.32819,0.3334,0.33921
classic,3,Stick,30000,0.3333333333333333,0.0022598333333333333,0.0028170236460175876,0.3296233333333333,0.33321666666666666,0.33690333333333333
classic,3,Stick,100000,0.3333333333333333,0.0011955083333333343,0.0015253703466517386,0.33128599999999997,0.33337,0.335333
classic,3,Random Switch,10,0.6666666666666666,0.12899999999999998,0.15522385269166736,0.5,0.7,0.8
classic,3,Random Switch,30,0.6666666666666666,0.06625,0.08344991844746699,0.5666666666666667,0.6666666666666666,0.7666666666666667
classic,3,Random Switch,100,0.6666666666666666,0.03793333333333333,0.04724875071834645,0.61,0.67,0.73
classic,3,Random Switch,300,0.6666666666666666,0.022316666666666665,0.028207563997386706,0.6333333333333333,0.6666666666666666,0.7066666666666667
classic,3,Random Switch,1000,0.6666666666666666,0.012325000000000013,0.015323928275014144,0.6499,0.67,0.687
classic,3,Random Switch,3000,0.6666666666666666,0.007245000000000004,0.008996604297671924,0.654,0.6663333333333333,0.6770333333333334
classic,3,Random Switch,10000,0.6666666666666666,0.0037256666666666684,0.004687274735328031,0.6602,0.66695,0.6728
classic,3,Random Switch,30000,0.6666666666666666,0.0020485000000000013,0.002605586946032189,0.6634599999999999,0.6665333333333333,0.6700766666666667
classic,3,Random Switch,100000,0.6666666666666666,0.0011693166666666677,0.001458108516004363,0.664797,0.666605,0.668551
classic,6,Stick,10,0.16666666666666666,0.09641666666666665,0.1209797962930634,0.0,0.2,0.3
classic,6,Stick,30,0.16666666666666666,0.0525,0.0669991708074726,0.06666666666666667,0.16666666666666666,0.26666666666666666
